CONG119,STATE,DISTRICT,TOTPOP20,NH White,NH Black plus NH Black and White,NH Asian plus NH Asian and White,NH American Indian plus NH American Indian and White,NH Pacific Islander plus NH Pacific Islander and White,NH Some Other Race plus NH Some Other Race and White,NH Other multiple-race,Hispanic,TOT_HOUS22_est,LESS_10K22_est,10K_15K22_est,15K_20K22_est,20K_25K22_est,25K_30K22_est,30K_35K22_est,35K_40K22_est,40K_45K22_est,45K_50K22_est,50K_60K22_est,60K_75K22_est,75K_100K22_est,100_125K22_est,125_150K22_est,150_200K22_est,200K_MOR22_est,Median_HH_Income_Est,BACH_PLUS_pct,FOREIGN_BORN_pct,ENG_LW_pct,Total_20_Pres_Votes_Est,G20PREDBID_pct,G20PRELJOR_pct,G20PRERTRU_pct
IL-14,IL,14,753677,0.5882,0.1016,0.0584,0.0094,0.0004,0.0102,0.0035,0.2283,263568.81,10144.38,6562.16,5580.59,7926.22,7119.27,8241.32,7563.69,8141.08,8376.73,15983.93,24722.2,35665.85,31759.84,23399.61,30520.92,31861.03,75K_100K,0.3234,0.1351,0.081,346221.11,0.5517,0.0121,0.4362
IL-15,IL,15,753677,0.8972,0.0364,0.0105,0.0161,0.0006,0.0089,0.0022,0.0281,303272.73,13268.34,10737.16,11229.85,12841.21,12637.99,11924.13,12541.15,11639.12,12288.52,23603.54,30615.95,43733.96,32497.99,21761.36,22556.34,19396.11,60K_75K,0.2507,0.0216,0.0106,392874.63,0.298,0.0142,0.6878
IL-16,IL,16,753677,0.8482,0.0303,0.0275,0.0146,0.0005,0.011,0.0021,0.0658,301524.55,11046.56,8030.85,9280.88,10243.02,11001.82,9513.63,11157.74,10616.09,10904.16,21585.42,28795.96,42662.17,33484.7,24643.61,29805.44,28752.5,75K_100K,0.3077,0.0492,0.019,397699.91,0.384,0.0153,0.6007
IL-17,IL,17,753676,0.6751,0.1597,0.0252,0.0129,0.0005,0.0102,0.0047,0.1116,314594.98,24594.99,16383.13,14891.91,15042.21,16209.38,14661.32,14725.9,13458.19,13595.4,24052.17,31331.37,39652.49,28185.69,18265.96,16914.48,12630.39,50K_60K,0.2401,0.0681,0.0359,328346.2,0.5322,0.0145,0.4534
IN-01,IN,01,753947,0.5937,0.195,0.0173,0.0121,0.0004,0.0117,0.0042,0.1654,291885.23,15960.97,10970.71,9393.54,12875.07,11700.46,11912.17,12342.41,10550.69,11664.63,21085.34,27156.73,40774.0,29490.69,21800.79,24010.42,20196.63,60K_75K,0.2536,0.064,0.0341,340699.42,0.5337,0.0162,0.4501
IN-02,IN,02,753947,0.7595,0.0786,0.0187,0.0158,0.0007,0.0106,0.0033,0.113,282525.72,14408.96,10480.59,10187.17,11802.08,12852.04,12549.04,13019.68,12299.92,12917.85,22613.38,29998.13,39704.31,28417.04,18065.55,18418.02,14791.95,60K_75K,0.2408,0.0662,0.0402,311424.8,0.3779,0.0185,0.6036
IN-03,IN,03,753947,0.8049,0.0712,0.0301,0.0141,0.0006,0.0092,0.0034,0.0665,293391.48,10786.62,9987.47,10493.29,11953.05,12543.72,12935.86,13024.92,12726.65,12323.62,25688.44,32044.32,45105.64,30407.91,18952.39,18470.27,15947.32,60K_75K,0.2464,0.0528,0.0385,328582.52,0.3398,0.0214,0.6388
IN-04,IN,04,753947,0.8138,0.0459,0.0363,0.0155,0.0007,0.0105,0.0061,0.0712,289038.3,13180.53,9059.09,8875.68,10828.62,11612.25,11438.83,11336.66,10490.68,10609.64,21840.82,28208.75,41851.32,32753.48,21201.77,23599.7,22150.47,60K_75K,0.3076,0.0705,0.0305,345308.52,0.3429,0.0228,0.6343
IN-05,IN,05,753947,0.8112,0.0712,0.0423,0.0145,0.0007,0.0106,0.0034,0.0461,295003.79,12836.96,8762.24,8928.46,10855.93,10595.42,10201.74,11175.31,10345.81,10409.75,21470.0,29111.46,38168.78,29132.48,22231.83,25507.98,35269.66,75K_100K,0.3925,0.0595,0.0223,369023.31,0.4103,0.0201,0.5696
IN-06,IN,06,753949,0.8097,0.0514,0.0578,0.0154,0.0008,0.0091,0.0032,0.0526,291487.92,11709.07,9402.69,9946.34,10843.51,11472.96,11131.54,12637.4,11355.16,12060.3,21940.57,31790.09,43961.36,31229.37,21237.48,22006.08,18764.0,60K_75K,0.2739,0.068,0.0369,331748.0,0.3297,0.0213,0.649
IN-07,IN,07,753949,0.453,0.3468,0.0239,0.0096,0.0006,0.01,0.0077,0.1483,309008.61,23253.0,13351.37,12588.19,15167.83,13731.1,14465.05,14631.88,14942.56,14405.86,25140.88,30906.56,37934.67,24532.05,15808.48,18838.3,19310.84,50K_60K,0.3461,0.1077,0.0599,303733.96,0.7029,0.0179,0.2792
IN-08,IN,08,753947,0.8769,0.0503,0.0133,0.016,0.0014,0.0088,0.0026,0.0307,303604.59,14706.0,13296.24,12056.69,14429.01,14411.3,14121.54,13615.61,13219.05,13614.31,23973.74,32147.77,41309.94,30617.33,18545.94,18788.68,14751.45,60K_75K,0.2234,0.0279,0.0144,343949.63,0.3266,0.0184,0.655
IN-09,IN,09,753948,0.8696,0.0373,0.0213,0.0178,0.0007,0.0091,0.003,0.0412,297650.34,14660.89,12366.59,11264.65,12205.9,12411.76,12355.24,11744.12,11478.48,12604.04,22716.84,30738.18,43452.97,31457.66,20527.77,21413.54,16251.69,60K_75K,0.26,0.0398,0.0166,356783.85,0.3539,0.0182,0.6278
KS-01,KS,01,734470,0.7455,0.0353,0.0228,0.0245,0.0012,0.0099,0.0039,0.1567,290200.47,15041.99,11721.97,11627.77,13426.41,13262.93,12045.65,12761.61,13071.02,13117.47,25946.42,29627.8,39708.88,27964.26,17495.57,18641.67,14739.05,60K_75K,0.2941,0.0806,0.0529,324066.43,0.3412,0.0217,0.6371
KS-02,KS,02,734470,0.6978,0.098,0.0226,0.0335,0.0024,0.0102,0.0064,0.129,285248.82,14931.48,12521.75,12437.17,12041.29,14502.83,12332.5,12518.48,12419.34,12835.91,24258.74,29090.65,38237.59,27982.89,17419.31,17498.57,14220.33,60K_75K,0.2691,0.066,0.0426,321508.73,0.4069,0.0231,0.57
KS-03,KS,03,734470,0.7504,0.0564,0.0557,0.0194,0.0011,0.0127,0.0041,0.1002,289230.17,8233.86,5712.14,5516.84,6709.37,8135.64,7864.73,7431.39,7562.03,8619.39,18227.17,26310.14,38572.86,35052.64,24571.61,34908.76,45801.63,75K_100K,0.5128,0.0936,0.0408,401919.67,0.5116,0.0213,0.4671
KS-04,KS,04,734470,0.6962,0.0789,0.0393,0.0321,0.0016,0.0102,0.0067,0.1349,283955.54,13058.67,11219.14,10182.22,11331.93,14722.6,11595.12,11632.52,11325.61,13548.23,22954.67,30030.41,39103.67,26891.21,19360.51,20093.01,16905.99,60K_75K,0.3038,0.0769,0.045,324810.51,0.3797,0.0232,0.5971
KY-01,KY,01,750973,0.8384,0.0848,0.0096,0.0171,0.0009,0.008,0.0032,0.0381,293832.6,19333.91,18815.33,14984.84,14167.06,15223.86,13693.45,14148.56,12369.79,12568.12,24709.81,29763.7,39067.9,24343.8,14979.63,14348.06,11314.8,50K_60K,0.2029,0.0247,0.0141,350491.48,0.2798,0.0109,0.7093
KY-02,KY,02,750972,0.8354,0.0668,0.0245,0.0174,0.0022,0.0084,0.0035,0.0418,288819.92,15410.92,14883.05,12315.69,11759.72,13759.07,12691.79,12030.23,12698.18,12285.77,21378.41,29319.57,38541.49,26836.8,18490.52,18810.81,17607.89,60K_75K,0.2304,0.0472,0.0255,350286.46,0.3099,0.0127,0.6773
KY-03,KY,03,750973,0.6187,0.2348,0.0387,0.013,0.001,0.0101,0.0064,0.0772,315071.08,17457.96,13708.89,12003.01,12811.61,13492.72,13613.08,13659.08,12686.23,12704.87,25312.12,31128.67,41680.13,29625.44,19844.67,21566.89,23775.72,60K_75K,0.3512,0.0959,0.0506,363643.5,0.6062,0.0126,0.3813
KY-04,KY,04,750973,0.8656,0.0451,0.0157,0.0178,0.0012,0.0093,0.0029,0.0425,285265.72,12762.75,10355.86,9117.37,11101.85,9444.33,11141.58,9992.45,10361.91,10339.32,19331.21,27469.43,37653.63,31731.47,22616.1,25672.08,26174.38,75K_100K,0.3076,0.0393,0.0191,373687.4,0.3288,0.014,0.6572
KY-05,KY,05,750973,0.937,0.0192,0.0052,0.0161,0.0003,0.0053,0.0017,0.0152,285719.86,25872.93,27730.81,18177.71,18053.63,16390.33,16006.84,12535.17,11617.72,12238.27,21735.77,26000.43,31322.04,20354.11,10878.91,9830.45,6974.73,40K_45K,0.1505,0.0122,0.0054,326115.52,0.1979,0.0086,0.7935
KY-06,KY,06,750972,0.7849,0.097,0.0269,0.0149,0.0007,0.0087,0.0049,0.062,300392.81,17286.53,12969.07,11483.37,12951.14,12737.7,12742.25,13182.51,12238.17,12155.65,23624.67,28812.2,38433.81,29462.39,20336.17,20913.71,21063.48,60K_75K,0.349,0.065,0.031,361128.81,0.4376,0.0148,0.5476
LA-01,LA,01,776327,0.6901,0.128,0.0288,0.0177,0.0007,0.0123,0.0052,0.1172,302854.14,14931.11,11421.04,11190.19,11894.73,11406.53,10985.23,10390.48,11129.31,11441.2,21207.3,27654.15,39148.8,30129.21,21548.63,27376.22,31000.0,60K_75K,0.351,0.0765,0.0393,385088.19,0.2973,0.0126,0.6901
LA-02,LA,02,776316,0.3361,0.5129,0.0306,0.0081,0.0004,0.0083,0.0078,0.0957,299797.65,27506.61,20999.14,14762.89,16339.31,14879.62,13861.92,12048.87,11725.04,11026.9,19920.41,27088.41,32147.37,23941.36,16382.02,19027.92,18139.85,50K_60K,0.2675,0.0747,0.0443,351887.39,0.6762,0.0078,0.3161
LA-03,LA,03,776287,0.6519,0.2363,0.021,0.0213,0.0006,0.0073,0.0059,0.0558,297706.95,20203.58,15844.16,14025.91,15327.41,13653.56,13069.33,12928.41,10772.22,12314.51,20812.04,26291.87,37620.9,27875.72,18003.08,19609.27,19354.97,50K_60K,0.2319,0.0364,0.0245,350091.42,0.2803,0.0106,0.709
LA-04,LA,04,776302,0.6837,0.2108,0.0166,0.0232,0.0012,0.0085,0.005,0.051,289584.3,19182.85,18025.27,15008.51,16057.79,14668.16,12973.03,13192.4,10764.07,11244.75,20979.39,24919.46,32904.66,24801.25,17955.12,19269.45,17638.15,50K_60K,0.2351,0.0356,0.019,356154.4,0.2464,0.0103,0.7433
LA-05,LA,05,776285,0.6235,0.2834,0.0177,0.0138,0.0004,0.0078,0.0042,0.0492,281846.34,20833.97,15961.29,13260.46,14288.82,12769.08,13217.98,10271.23,11337.03,10289.63,19328.8,25722.74,31348.51,25070.41,17296.79,20223.13,20626.48,50K_60K,0.2532,0.0329,0.017,343610.53,0.3238,0.0102,0.666
LA-06,LA,06,776240,0.3596,0.5537,0.0161,0.0095,0.0004,0.0067,0.0073,0.0466,293474.63,27195.88,23105.11,17093.04,18113.94,16344.06,15271.51,11288.61,12967.32,12632.01,21894.06,24488.37,29215.77,21546.04,13929.36,14721.02,13668.55,45K_50K,0.2242,0.0345,0.0214,346624.38,0.5957,0.0091,0.3953
MA-01,MA,01,781103,0.6942,0.0636,0.0274,0.0105,0.0006,0.013,0.0041,0.1866,315928.63,16175.33,16426.36,12368.4,13386.53,12581.1,11818.87,11547.19,11117.31,10628.85,21222.86,28217.48,39430.67,30510.92,23408.42,27971.71,29116.63,60K_75K,0.3151,0.086,0.0752,390830.01,0.6018,0.0143,0.3839
MA-02,MA,02,781101,0.7079,0.0608,0.0812,0.0087,0.0005,0.0247,0.0049,0.1113,296089.4,12281.68,10910.18,9393.6,9365.96,9525.9,8559.97,8462.18,7644.83,8834.15,17097.66,22885.57,34515.82,30147.31,23740.27,33253.29,49471.02,75K_100K,0.4518,0.1534,0.0743,393072.93,0.6475,0.0153,0.3372
MA-03,MA,03,781102,0.6065,0.0447,0.0884,0.007,0.0004,0.0307,0.0043,0.2179,289567.69,10937.94,10926.95,8264.5,7975.47,8845.61,8444.83,7880.03,8373.97,7483.36,17299.84,24051.76,33075.23,29968.13,23989.77,34543.56,47506.74,75K_100K,0.3848,0.208,0.1205,370724.58,0.6299,0.0157,0.3544
MA-04,MA,04,781103,0.7791,0.0394,0.0769,0.0063,0.0004,0.0273,0.0095,0.061,299096.75,10869.88,9364.61,7506.34,7933.27,7883.61,7487.84,6968.03,7201.55,6622.17,13669.52,21157.09,32423.54,28527.43,23956.49,36539.78,70985.61,100_125K,0.4877,0.1611,0.0653,414484.68,0.6361,0.0137,0.3501
MA-05,MA,05,781101,0.6457,0.0569,0.1417,0.004,0.0005,0.0405,0.0061,0.1047,306116.29,12042.85,7979.63,7541.55,7055.11,6544.5,5933.92,6250.84,6330.46,6884.73,13202.07,18096.13,31888.51,28587.23,23638.2,37910.66,86229.92,100_125K,0.6047,0.2709,0.1182,397660.05,0.7516,0.011,0.2374
MA-06,MA,06,781101,0.7668,0.0368,0.0561,0.0058,0.0004,0.0223,0.0033,0.1085,302597.9,10927.06,8766.51,7947.5,7683.05,7597.39,7448.32,6628.6,7138.88,7065.64,13555.64,20646.92,33889.76,28454.73,26118.65,38939.32,69789.92,100_125K,0.4885,0.1538,0.0759,448092.08,0.6321,0.0132,0.3548
MA-07,MA,07,781102,0.3867,0.2126,0.1266,0.0037,0.0005,0.0299,0.021,0.2189,303199.61,23313.76,17735.26,10851.7,10039.23,9320.62,7831.6,7517.78,7904.07,7963.73,15541.17,20938.4,32718.49,27071.54,21487.28,31526.6,51438.38,75K_100K,0.483,0.3385,0.1877,313050.88,0.8604,0.0079,0.1317
MA-08,MA,08,781102,0.6632,0.1015,0.1033,0.0049,0.0004,0.0312,0.0276,0.0679,314462.77,12787.23,9643.64,7857.56,8566.66,7466.43,6854.06,6004.38,7456.15,7486.54,15562.68,20707.61,35059.92,30378.25,25660.67,40816.09,72154.89,100_125K,0.5042,0.2087,0.1035,413019.11,0.672,0.0123,0.3157
MA-09,MA,09,781102,0.8297,0.0318,0.0171,0.0093,0.0005,0.0362,0.0159,0.0595,313935.96,11606.28,9119.86,9036.84,8786.73,9150.85,9513.59,9574.97,9772.77,7961.83,17988.57,26255.04,37849.05,30881.45,27330.24,36646.01,52461.89,75K_100K,0.4103,0.0998,0.0458,455487.49,0.5846,0.0134,0.402
MD-01,MD,01,772748,0.7205,0.1607,0.0311,0.0148,0.0007,0.0108,0.0057,0.0557,299026.69,12628.48,7746.24,8699.42,8476.05,9706.51,9234.47,9841.66,9248.89,9253.88,18586.89,24496.01,38403.79,34048.02,24635.46,33255.82,40765.1,75K_100K,0.3361,0.0657,0.0282,408057.72,0.4197,0.0144,0.5659
MD-02,MD,02,770906,0.5938,0.2477,0.0691,0.0097,0.0005,0.0112,0.0076,0.0603,297889.46,11757.34,6300.97,6298.47,7835.73,7267.35,8031.27,7666.99,8716.48,9211.85,17406.62,25691.52,39447.36,33209.07,25374.97,36682.79,46990.67,75K_100K,0.4514,0.1242,0.0423,388662.0,0.5979,0.0138,0.3883
MD-03,MD,03,771733,0.5702,0.1842,0.1219,0.0104,0.001,0.0134,0.009,0.0898,286289.14,7571.3,3627.11,4789.96,4498.65,5011.61,5004.07,5346.06,5955.33,5020.5,13252.39,18820.64,33535.36,31841.97,26284.75,42718.41,73011.03,100_125K,0.5169,0.1608,0.0541,411620.55,0.6211,0.0148,0.3641
MD-04,MD,04,770577,0.1066,0.5604,0.0558,0.0032,0.0005,0.0077,0.0145,0.2514,270536.35,12224.87,6821.96,5210.26,6908.3,6609.95,7231.32,7785.99,7863.1,8543.0,18337.57,26046.37,39121.4,32957.83,23674.02,29673.23,31527.17,75K_100K,0.3245,0.2932,0.165,299184.02,0.9078,0.0044,0.0877
MD-05,MD,05,774641,0.4373,0.4125,0.0396,0.0117,0.0012,0.0109,0.0153,0.0717,278139.69,7754.81,3976.76,3370.58,4306.05,3995.11,4482.97,5256.22,5030.26,5046.48,12297.62,18508.33,32108.86,33123.63,30650.84,45632.17,62599.0,100_125K,0.4073,0.1023,0.0295,413695.38,0.678,0.0108,0.3112
MD-06,MD,06,777845,0.6009,0.14,0.0946,0.0108,0.0008,0.0124,0.0069,0.1336,287580.09,10409.88,7915.61,7298.86,6732.9,8398.16,8349.38,7398.0,7893.57,8329.36,16681.25,22967.42,36486.03,31488.45,24902.76,34553.02,47775.44,75K_100K,0.3955,0.1808,0.0809,368936.74,0.5431,0.0128,0.4441
MD-07,MD,07,767247,0.2987,0.5445,0.042,0.0081,0.0005,0.0094,0.0114,0.0854,314639.56,26227.18,19564.78,12907.19,13229.22,12400.14,12109.27,13327.36,11348.63,12955.26,23445.49,29273.33,37483.72,26514.45,18752.58,21913.57,23187.4,50K_60K,0.3128,0.0998,0.043,308669.47,0.8156,0.0084,0.176
MD-08,MD,08,771527,0.443,0.1723,0.1561,0.0041,0.0006,0.0179,0.0089,0.1972,284023.02,8022.13,5459.56,4351.25,5411.1,5710.18,5927.27,5141.72,5806.74,5609.66,11916.17,17810.39,28417.48,26314.58,23333.62,36815.99,87975.18,125_150K,0.6308,0.3349,0.1449,396099.66,0.8116,0.0077,0.1806
ME-01,ME,01,681179,0.8945,0.0275,0.0224,0.0169,0.0006,0.0137,0.0024,0.022,289515.0,10604.0,9399.0,8658.0,9668.0,9812.0,8977.0,9736.0,10126.0,10362.0,20787.0,28015.0,40149.0,32519.0,23328.0,28360.0,29015.0,75K_100K,0.4127,0.0568,0.017,425037.28,0.6071,0.0166,0.3763
ME-02,ME,02,681180,0.9087,0.02,0.0122,0.0271,0.0006,0.0121,0.0023,0.017,290657.0,13691.0,16445.0,13655.0,14613.0,14503.0,14028.0,12905.0,13625.0,12185.0,23067.0,28649.0,38426.0,26384.0,17640.0,17065.0,13776.0,50K_60K,0.2692,0.0405,0.0122,384922.38,0.4599,0.0183,0.5217
MI-01,MI,01,775375,0.8945,0.0132,0.0084,0.0484,0.0006,0.0122,0.0023,0.0204,330846.69,15924.39,15411.6,14932.21,15626.61,15758.49,15871.95,15649.43,14868.92,14290.59,28676.9,35132.4,46812.57,30630.64,18294.32,17384.38,15581.29,50K_60K,0.2648,0.0238,0.008,463227.07,0.395,0.0114,0.5936
MI-02,MI,02,774997,0.8782,0.0263,0.0087,0.0243,0.0005,0.0132,0.0022,0.0465,294026.61,13185.08,12682.3,11386.49,12159.05,13986.14,12906.27,13050.14,13017.53,12445.89,23659.26,31990.77,44255.01,28540.03,18820.09,17887.52,14055.03,60K_75K,0.2122,0.0229,0.0111,412756.68,0.3519,0.013,0.6352
MI-03,MI,03,775414,0.7015,0.1245,0.0362,0.0142,0.0006,0.0115,0.0048,0.1067,297560.28,12084.92,10981.91,9967.24,11256.3,11276.27,10087.59,11966.68,12443.05,11724.41,23297.78,29613.1,42555.38,31866.02,21851.13,22791.38,23797.12,60K_75K,0.3665,0.0805,0.0466,414979.26,0.5352,0.0149,0.4499
MI-04,MI,04,774600,0.7509,0.0977,0.0303,0.0176,0.0007,0.0127,0.0045,0.0856,301957.59,13218.28,11039.41,10396.19,11945.28,13770.84,13119.56,12222.01,10703.02,11907.72,22848.15,30376.38,41999.95,30093.18,21479.15,24144.85,22693.61,60K_75K,0.3176,0.0609,0.0267,415508.9,0.4734,0.0136,0.513
MI-05,MI,05,774544,0.845,0.0522,0.0125,0.022,0.0005,0.0131,0.0029,0.0518,303001.34,12550.62,11099.84,11389.0,13095.75,13370.26,13532.93,13369.19,13152.87,12286.95,24513.88,33553.76,41630.95,30807.1,18995.3,21944.04,17708.85,60K_75K,0.229,0.032,0.0142,404085.58,0.3721,0.0131,0.6148
MI-06,MI,06,775273,0.6915,0.1103,0.1156,0.0131,0.0006,0.0138,0.0057,0.0496,305810.37,14299.52,7927.78,7208.02,8308.06,8542.77,9220.02,10188.91,9420.63,8935.02,18801.4,25391.75,37430.75,32024.06,24606.52,34042.4,49462.75,75K_100K,0.5106,0.1364,0.0418,454693.9,0.6293,0.0092,0.3615
MI-07,MI,07,775238,0.799,0.071,0.0382,0.0176,0.0007,0.0131,0.0038,0.0566,309330.47,12882.92,10145.01,8660.43,10681.32,11208.33,10801.14,12293.25,10950.01,11877.85,23690.38,29286.96,42606.25,33761.27,22580.3,28645.49,29259.55,75K_100K,0.3627,0.0615,0.0219,445452.94,0.4984,0.0128,0.4888
MI-08,MI,08,775229,0.734,0.1621,0.0147,0.0183,0.0006,0.0124,0.0044,0.0535,319948.64,19120.84,15879.67,12756.29,14189.4,14431.37,15176.44,15255.82,15590.65,14061.09,25304.59,31768.54,41959.15,26765.74,18402.58,20625.42,18661.04,50K_60K,0.2391,0.0288,0.0108,427299.84,0.5048,0.0107,0.4845
MI-09,MI,09,774962,0.8794,0.0292,0.0181,0.0184,0.0004,0.0136,0.0023,0.0386,301948.23,10363.89,9430.13,8253.25,9522.12,10731.28,10513.88,10406.27,11229.34,11742.98,20477.98,28256.16,41872.89,31069.25,24356.58,32426.87,31295.37,75K_100K,0.2808,0.0456,0.0159,463030.54,0.3468,0.0107,0.6424
MI-10,MI,10,775218,0.7275,0.1436,0.0683,0.0134,0.0004,0.012,0.0045,0.0303,317596.76,13136.0,10156.0,10735.28,11821.0,12113.0,13059.0,13248.49,11653.0,12877.49,22910.0,31007.8,45350.08,34790.85,23410.08,26896.78,24431.91,60K_75K,0.2934,0.1428,0.0672,428107.31,0.4905,0.0093,0.5003
MI-11,MI,11,775568,0.683,0.1389,0.0957,0.011,0.0004,0.013,0.0047,0.0533,328752.01,13310.54,9765.33,8325.6,9937.11,10804.25,11053.22,10357.8,10177.98,10166.0,20130.67,27146.36,41860.02,34323.86,26642.94,34536.87,50213.46,75K_100K,0.4959,0.1531,0.0538,460487.89,0.5948,0.0094,0.3957
MI-12,MI,12,775247,0.4595,0.4561,0.0241,0.0086,0.0003,0.0104,0.0083,0.0326,297116.56,23540.62,16867.15,13526.32,13376.27,13523.62,13399.89,13002.65,12584.23,13367.93,21414.18,29513.59,37964.91,25201.65,16501.25,18023.43,15308.85,50K_60K,0.2639,0.1106,0.0604,385561.29,0.7403,0.0068,0.2529
MI-13,MI,13,775666,0.368,0.4666,0.0337,0.0104,0.0005,0.0095,0.0087,0.1026,301357.44,28548.38,23994.85,15622.68,16323.73,14698.38,14163.11,15316.35,14476.77,12458.07,23643.82,26662.41,32800.09,20511.35,14173.75,13508.57,14455.15,45K_50K,0.2142,0.0943,0.0654,339110.19,0.7458,0.0067,0.2474
MN-01,MN,01,713311,0.8242,0.0454,0.0342,0.0111,0.001,0.0101,0.0024,0.0717,286338.34,10132.75,9894.77,9721.4,10348.01,10583.02,10358.55,10503.26,10719.61,10524.4,21918.31,27774.45,41441.89,32704.47,22027.02,25181.86,22504.57,75K_100K,0.3135,0.0723,0.0399,384671.8,0.4479,0.0113,0.5409
MN-02,MN,02,713312,0.7528,0.0732,0.0652,0.0137,0.0008,0.0137,0.0046,0.0759,266054.41,6657.34,3878.28,4427.77,6223.21,5956.24,6757.2,6234.79,7476.6,8086.1,14938.29,22028.7,34180.49,33081.89,27013.28,36345.72,42768.5,100_125K,0.4245,0.0999,0.0461,416656.81,0.5304,0.0116,0.458
MN-03,MN,03,713311,0.7138,0.106,0.0979,0.0111,0.0005,0.0126,0.0055,0.0525,282912.91,7181.52,5447.91,5224.29,6448.56,5825.23,7348.08,7305.57,7697.63,8017.51,16579.7,22625.62,35799.41,29171.86,26159.51,35152.11,56928.4,100_125K,0.5036,0.1386,0.0519,430742.19,0.6002,0.0111,0.3886
MN-04,MN,04,713312,0.6223,0.124,0.1471,0.0135,0.0007,0.0116,0.007,0.0739,278148.95,10545.02,8589.13,7044.0,8044.0,7998.7,9366.52,8989.91,9430.54,9331.25,19259.74,24769.76,35158.98,29459.72,21807.66,30051.56,38302.47,75K_100K,0.4663,0.1476,0.0889,392660.71,0.685,0.0101,0.3049
MN-05,MN,05,713312,0.5994,0.1874,0.0717,0.0178,0.0007,0.0123,0.0093,0.1015,303336.51,15207.0,11496.0,9614.0,8720.49,10269.81,9164.0,9406.0,10154.98,10101.96,21259.49,28552.49,40503.37,30347.71,23240.25,27755.61,37543.36,75K_100K,0.4968,0.1556,0.0773,392213.07,0.8144,0.0094,0.1763
MN-06,MN,06,713312,0.8405,0.0541,0.0379,0.0138,0.0005,0.0126,0.0034,0.0371,259882.84,6415.91,4711.16,5537.88,5796.57,6489.34,6641.83,6806.24,6904.32,7647.82,16521.34,22261.44,36412.81,32349.14,26123.61,35099.63,34163.81,75K_100K,0.3454,0.0633,0.0272,409939.58,0.4046,0.0127,0.5827
MN-07,MN,07,713312,0.8811,0.0199,0.0119,0.021,0.0014,0.0095,0.0023,0.0529,288524.24,12321.25,11235.33,11448.61,11067.3,11132.79,11816.43,10329.87,11770.16,11147.2,22643.84,28905.8,42704.0,31942.19,21929.82,21646.17,16483.49,60K_75K,0.2376,0.037,0.0209,392225.67,0.3277,0.0094,0.6629
MN-08,MN,08,713312,0.8697,0.0173,0.0127,0.0638,0.0006,0.0137,0.0032,0.0191,290927.79,12403.21,11727.43,9859.05,11018.87,10775.87,11882.39,11195.36,11159.15,11673.76,23018.3,29332.75,40452.06,30876.02,22969.84,23594.34,18989.4,60K_75K,0.2679,0.0229,0.0079,417008.45,0.4375,0.0108,0.5517
MO-01,MO,01,769364,0.4043,0.4756,0.044,0.0097,0.0005,0.0112,0.0094,0.0454,338012.56,24305.92,18166.35,15153.41,14219.19,16265.52,16256.77,15488.72,13626.55,15250.72,27485.07,33991.85,39666.52,28331.9,17924.4,19319.77,22559.9,50K_60K,0.3622,0.0714,0.0283,353105.73,0.7881,0.0108,0.2012
MO-02,MO,02,769364,0.8418,0.0393,0.0548,0.0162,0.0006,0.0124,0.0029,0.032,306124.18,8314.91,5735.53,6330.45,8638.25,7642.27,8852.38,8858.39,10006.24,9520.24,19447.96,25820.44,40043.17,33670.43,25780.35,35640.33,51822.85,75K_100K,0.4868,0.0748,0.0246,437215.65,0.4547,0.0128,0.5326
MO-03,MO,03,769364,0.8455,0.0573,0.0253,0.0222,0.0009,0.0126,0.0032,0.0328,299597.67,12114.77,8721.0,9437.76,9314.61,10052.89,10751.7,10539.6,11388.45,12482.03,21135.08,30233.44,42966.41,32760.33,23789.35,27702.08,26208.15,75K_100K,0.3458,0.0398,0.015,396825.63,0.3612,0.0153,0.6235
MO-04,MO,04,769364,0.8332,0.0537,0.0158,0.0294,0.0028,0.0131,0.004,0.0481,292374.74,12541.91,13565.99,12250.52,13122.62,12730.88,13687.66,12932.79,12991.63,12535.62,24502.21,30351.8,41015.34,29043.33,18802.99,18399.32,13900.12,60K_75K,0.2411,0.0338,0.0168,372093.73,0.2933,0.0159,0.6908
MO-05,MO,05,769364,0.5787,0.2329,0.0301,0.0206,0.004,0.0121,0.0096,0.112,325674.72,18397.46,13495.89,13384.51,13750.26,13376.41,15212.74,14541.0,13822.05,13155.33,25123.61,32183.94,42366.46,29993.72,21648.52,24642.52,20580.29,60K_75K,0.3326,0.0732,0.0388,348560.07,0.625,0.0145,0.3604
MO-06,MO,06,769364,0.8623,0.045,0.0145,0.0228,0.0025,0.0114,0.0033,0.0382,288901.01,14666.14,11343.25,10431.75,12077.57,11792.22,12165.32,11344.68,10800.85,11139.8,21979.71,28686.31,42300.97,30638.11,19643.16,21292.98,18598.16,60K_75K,0.2583,0.0314,0.0149,376548.59,0.3069,0.0139,0.6792
MO-07,MO,07,769365,0.8279,0.0291,0.0195,0.0418,0.0044,0.0126,0.0037,0.0611,310585.11,15422.36,16812.56,14085.37,14611.33,16385.09,15695.3,14392.56,15312.46,13879.58,26683.48,33030.46,41405.74,26937.41,15614.62,16080.79,14235.99,50K_60K,0.2654,0.0429,0.0229,363070.77,0.2849,0.0149,0.7003
